A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_CDS_PINID!PIN_TERMINATION!PIN_TERM_IDENT!PIN_NET_SHORT!
J!C:/MyWorks/emmiter_new/hard/circuit/project/power/board/power.brd!Thu Oct 10 18:10:53 2013!0.0000!0.0000!300.0000!180.0000!0.0001!millimeters!POWER!28.800000 mil!4!OUT OF DATE!
S!RX+_L!J3!1!@power.schematic1(sch_1):ins2128807@power.\4 header_1.normal\(chips)!4 HEADER_1_PLUG-4_4 HEADER!!!F7!!!!!
S!RX-_L!J3!2!@power.schematic1(sch_1):ins2128807@power.\4 header_1.normal\(chips)!4 HEADER_1_PLUG-4_4 HEADER!!!F7!!!!!
S!TX-_L!J3!3!@power.schematic1(sch_1):ins2128807@power.\4 header_1.normal\(chips)!4 HEADER_1_PLUG-4_4 HEADER!!!F7!!!!!
S!TX+_L!J3!4!@power.schematic1(sch_1):ins2128807@power.\4 header_1.normal\(chips)!4 HEADER_1_PLUG-4_4 HEADER!!!F7!!!!!
S!TX+_R!J1!11!@power.schematic1(sch_1):ins2134742@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F9!!!!!
S!TX-_R!J1!10!@power.schematic1(sch_1):ins2134742@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F9!!!!!
S!CT1R_L!J2!6!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!CT1T_L!J2!12!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!!J2!1!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!!J2!2!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!!J2!3!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!!J2!7!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!!J2!8!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!!J2!9!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!PWR_1-2!J2!13!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!PWR_3-6!J2!14!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!PWR_4-5!J2!15!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!PWR_7-8!J2!16!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!3.3V!J2!20!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!PH1_C_L!J2!19!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!3.3V!J2!18!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!PH2_C_L!J2!17!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!RX+_L!J2!4!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!RX-_L!J2!5!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!TX+_L!J2!11!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!TX-_L!J2!10!@power.schematic1(sch_1):ins2135042@power.\7499411121_1.normal\(chips)!7499411121_1_7499411121_7499411!!!F8!!!!!
S!0!J4!1!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!10!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!11!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!12!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!13!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!14!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!15!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!16!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!17!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!18!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!19!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!0!J4!2!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!20!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!21!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!22!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!23!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!24!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!25!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!26!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!27!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!D1OUT!J4!28!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!29!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!3!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!30!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!31!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!32!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
